Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Antigua and Barbuda,North America,2015,14.06148127986227
Argentina,South America,2015,13.57899172719062
Bahamas,North America,2015,14.07087435644036
Barbados,North America,2015,14.31121874139252
Belize,North America,2015,14.27955427805726
Bermuda,North America,2015,14.49690378465911
Bolivia,South America,2015,15.1113057951864
Brazil,South America,2015,16.71917787646766
Canada,North America,2015,14.95642437327214
Chile,South America,2015,15.355107027864127
Colombia,South America,2015,11.34494251597796
Costa Rica,North America,2015,12.9834350207279
Cuba,North America,2015,15.11449526221978
Dominica,North America,2015,14.192699576850307
Dominican Republic,North America,2015,14.99603971473168
Ecuador,South America,2015,14.622236341281187
El Salvador,North America,2015,13.250969771441
Greenland,North America,2015,17.69462691644475
Grenada,North America,2015,14.34103488169175
Guatemala,North America,2015,13.22604489175523
Guyana,South America,2015,15.90434065153428
Haiti,North America,2015,15.0945717377589
Honduras,North America,2015,12.70484381558635
Jamaica,North America,2015,13.93004791154884
Mexico,North America,2015,12.19323341979232
Nicaragua,North America,2015,13.257588322370289
Panama,North America,2015,12.14649554932326
Paraguay,South America,2015,15.81544713637596
Peru,South America,2015,13.82833731174444
Puerto Rico,North America,2015,14.17372269516515
Saint Kitts and Nevis,North America,2015,15.081887185617171
Saint Lucia,North America,2015,14.40053454356914
Saint Vincent and the Grenadines,North America,2015,14.37602634050437
Suriname,South America,2015,15.473627470585742
Trinidad and Tobago,North America,2015,14.53487170419753
United States,North America,2015,16.47479615201463
United States Virgin Islands,North America,2015,14.53617013391936
Uruguay,South America,2015,14.195778405852067
Venezuela,South America,2015,13.53088654334863
American Samoa,Oceania,2015,11.21258879843744
Australia,Oceania,2015,19.01232760508897
Cook Islands,Oceania,2015,11.63633050064505
Fiji,Oceania,2015,11.5436369287624
Guam,Oceania,2015,11.58120193250574
Kiribati,Oceania,2015,12.21422158040369
Marshall Islands,Oceania,2015,11.849398224409349
Micronesia (country),Oceania,2015,11.93312972788238
Nauru,Oceania,2015,11.85845924095074
New Zealand,Oceania,2015,19.04048041248131
Niue,Oceania,2015,11.75794915064441
Northern Mariana Islands,Oceania,2015,11.23179526442885
Palau,Oceania,2015,11.67681317915556
Papua New Guinea,Oceania,2015,11.95805340604426
Samoa,Oceania,2015,11.577260454269153
Solomon Islands,Oceania,2015,12.247575982607833
Tokelau,Oceania,2015,11.85875743149052
Tonga,Oceania,2015,11.53674633043522
Tuvalu,Oceania,2015,12.182210770861571
Vanuatu,Oceania,2015,11.942643959827649
