Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Afghanistan,Asia,2015,17.125415531764528
Armenia,Asia,2015,11.370858858024
Azerbaijan,Asia,2015,10.41485506542512
Bahrain,Asia,2015,14.58393017769218
Bangladesh,Asia,2015,11.8966766152384
Bhutan,Asia,2015,12.09444295080448
Brunei,Asia,2015,10.32185758153415
Cambodia,Asia,2015,12.48969570894797
China,Asia,2015,11.278487621602649
Cyprus,Asia,2015,15.65594403598415
Georgia,Asia,2015,11.0169171427855
India,Asia,2015,13.94046941018506
Indonesia,Asia,2015,10.68618555270392
Iran,Asia,2015,19.35466854644239
Iraq,Asia,2015,15.026242288437947
Israel,Asia,2015,14.46972007345221
Japan,Asia,2015,10.63761004793776
Jordan,Asia,2015,15.0005967076751
Kazakhstan,Asia,2015,10.63822591728256
Kuwait,Asia,2015,13.92963484349307
Kyrgyzstan,Asia,2015,11.32612233263573
Laos,Asia,2015,12.04749059407596
Lebanon,Asia,2015,17.19587949507007
Malaysia,Asia,2015,12.21974092298457
Maldives,Asia,2015,11.15595035244538
Mongolia,Asia,2015,11.13978919200826
Myanmar,Asia,2015,10.95506048937357
Nepal,Asia,2015,13.826037551506053
North Korea,Asia,2015,11.75454294678881
Oman,Asia,2015,13.65642272276609
Pakistan,Asia,2015,12.90457801779186
Palestine,Asia,2015,18.51688448634674
Philippines,Asia,2015,11.95612710455336
Qatar,Asia,2015,13.51222766455578
Saudi Arabia,Asia,2015,13.70108793133033
Sri Lanka,Asia,2015,11.4555202223458
Syria,Asia,2015,16.000069867844662
Taiwan,Asia,2015,10.53868941846105
Tajikistan,Asia,2015,11.08268630352839
Thailand,Asia,2015,12.07717302651872
Timor,Asia,2015,11.14639013227435
Turkey,Asia,2015,14.59939565176639
Turkmenistan,Asia,2015,10.58118357053842
United Arab Emirates,Asia,2015,12.47028735001361
Uzbekistan,Asia,2015,10.63831468505454
Vietnam,Asia,2015,9.5943331281396
Yemen,Asia,2015,15.83801866137009
