Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Algeria,Africa,2016,14.722310221546287
Angola,Africa,2016,13.35190923207373
Benin,Africa,2016,11.83296306172741
Botswana,Africa,2016,11.86798191536426
Burkina Faso,Africa,2016,11.86905183874379
Burundi,Africa,2016,13.06309669681855
Cameroon,Africa,2016,11.88726109613061
Cape Verde,Africa,2016,12.15987275981856
Central African Republic,Africa,2016,14.5809138496661
Chad,Africa,2016,12.61875124868253
Comoros,Africa,2016,12.178626163972227
Congo,Africa,2016,13.01891058477301
Cote d'Ivoire,Africa,2016,11.18587835218843
Democratic Republic of Congo,Africa,2016,13.6689671797032
Djibouti,Africa,2016,12.03117797101234
Egypt,Africa,2016,14.562205678120211
Equatorial Guinea,Africa,2016,13.1877486437281
Eritrea,Africa,2016,12.90417236538881
Eswatini,Africa,2016,11.942962158666967
Ethiopia,Africa,2016,12.51938293826944
Gabon,Africa,2016,13.1069869144167
Gambia,Africa,2016,12.96825840137955
Ghana,Africa,2016,11.40791524037099
Guinea,Africa,2016,11.86895397536013
Guinea-Bissau,Africa,2016,11.77036982178637
Kenya,Africa,2016,12.36042957111191
Lesotho,Africa,2016,13.29621646788069
Liberia,Africa,2016,12.75690297773939
Libya,Africa,2016,15.21900790012898
Madagascar,Africa,2016,12.99824229395973
Malawi,Africa,2016,12.49199562906415
Mali,Africa,2016,10.50699541274652
Mauritania,Africa,2016,10.55340579711257
Mauritius,Africa,2016,11.88922810364377
Morocco,Africa,2016,15.76177935799897
Mozambique,Africa,2016,13.32772540903333
Namibia,Africa,2016,11.09346979918334
Niger,Africa,2016,11.60676547868985
Nigeria,Africa,2016,10.71374300142872
Rwanda,Africa,2016,13.06964502052448
Sao Tome and Principe,Africa,2016,10.92981137885485
Senegal,Africa,2016,10.94855529301467
Seychelles,Africa,2016,10.83760949874695
Sierra Leone,Africa,2016,12.32599112680699
Somalia,Africa,2016,14.327089312217009
South Africa,Africa,2016,12.01374745263694
South Sudan,Africa,2016,13.277097613324951
Sudan,Africa,2016,15.99420550976238
Tanzania,Africa,2016,12.55891152820425
Togo,Africa,2016,12.302516619236693
Tunisia,Africa,2016,16.00050030458122
Uganda,Africa,2016,14.64791490447242
Zambia,Africa,2016,12.09361162455091
Zimbabwe,Africa,2016,11.16413265125685
