Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Afghanistan,Asia,2016,17.11012867708574
Armenia,Asia,2016,11.36776115763246
Azerbaijan,Asia,2016,10.40147757298539
Bahrain,Asia,2016,14.550668007283091
Bangladesh,Asia,2016,11.86366652729794
Bhutan,Asia,2016,12.06651247152374
Brunei,Asia,2016,10.3214814826843
Cambodia,Asia,2016,12.45333262227469
China,Asia,2016,11.33046348754711
Cyprus,Asia,2016,15.63636248981962
Georgia,Asia,2016,11.00345930116116
India,Asia,2016,13.91996118922335
Indonesia,Asia,2016,10.66419602203929
Iran,Asia,2016,19.24137255144715
Iraq,Asia,2016,14.98387647464609
Israel,Asia,2016,14.46565072601111
Japan,Asia,2016,10.63112079100462
Jordan,Asia,2016,14.96686876880001
Kazakhstan,Asia,2016,10.63320333756288
Kuwait,Asia,2016,13.94027264551691
Kyrgyzstan,Asia,2016,11.30237338128449
Laos,Asia,2016,12.036291273701927
Lebanon,Asia,2016,17.16688897246989
Malaysia,Asia,2016,12.21660361899868
Maldives,Asia,2016,11.13403593240964
Mongolia,Asia,2016,11.23884400247335
Myanmar,Asia,2016,10.92232357318715
Nepal,Asia,2016,13.81086392713888
North Korea,Asia,2016,11.753122114683473
Oman,Asia,2016,13.628531986100189
Pakistan,Asia,2016,12.910668547428411
Palestine,Asia,2016,18.32110355489196
Philippines,Asia,2016,11.94412823059202
Qatar,Asia,2016,13.50122678010568
Saudi Arabia,Asia,2016,13.66872093155998
Sri Lanka,Asia,2016,11.4581414687099
Syria,Asia,2016,16.03742279649654
Taiwan,Asia,2016,10.50732183615163
Tajikistan,Asia,2016,11.05826396159543
Thailand,Asia,2016,12.06855139083365
Timor,Asia,2016,11.15907293584428
Turkey,Asia,2016,14.53286965630531
Turkmenistan,Asia,2016,10.56599237312796
United Arab Emirates,Asia,2016,12.45734421378224
Uzbekistan,Asia,2016,10.60663873723924
Vietnam,Asia,2016,9.57069248281728
Yemen,Asia,2016,15.92882532250528
