Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Algeria,Africa,2018,14.73403927744812
Angola,Africa,2018,13.353600685694488
Benin,Africa,2018,11.84135588455702
Botswana,Africa,2018,11.87944640277874
Burkina Faso,Africa,2018,11.79233760237386
Burundi,Africa,2018,13.07761274524639
Cameroon,Africa,2018,11.88984822856584
Cape Verde,Africa,2018,12.15130803329379
Central African Republic,Africa,2018,14.63652603381429
Chad,Africa,2018,12.628596884517322
Comoros,Africa,2018,12.21440130520818
Congo,Africa,2018,13.02696075173634
Cote d'Ivoire,Africa,2018,11.1797205408187
Democratic Republic of Congo,Africa,2018,13.630838131510108
Djibouti,Africa,2018,12.0371725610843
Egypt,Africa,2018,14.5531394804964
Equatorial Guinea,Africa,2018,13.186359513584453
Eritrea,Africa,2018,12.920925987644411
Eswatini,Africa,2018,11.9527508532382
Ethiopia,Africa,2018,12.49109937060702
Gabon,Africa,2018,13.12578889016894
Gambia,Africa,2018,12.999937188142267
Ghana,Africa,2018,11.41423113703233
Guinea,Africa,2018,11.85493600500401
Guinea-Bissau,Africa,2018,11.76784987735962
Kenya,Africa,2018,12.34354459338164
Lesotho,Africa,2018,13.30323092669824
Liberia,Africa,2018,12.66956953537447
Libya,Africa,2018,15.3262479644629
Madagascar,Africa,2018,13.03521733859273
Malawi,Africa,2018,12.5014596670642
Mali,Africa,2018,10.54673083244765
Mauritania,Africa,2018,10.57294042188297
Mauritius,Africa,2018,11.85367509749833
Morocco,Africa,2018,15.73369385941938
Mozambique,Africa,2018,13.33608179217747
Namibia,Africa,2018,11.09799622367191
Niger,Africa,2018,11.62211189041279
Nigeria,Africa,2018,10.72233221089996
Rwanda,Africa,2018,13.084699589553589
Sao Tome and Principe,Africa,2018,10.95953775034197
Senegal,Africa,2018,10.965802007355933
Seychelles,Africa,2018,10.84164463847145
Sierra Leone,Africa,2018,12.34144341620422
Somalia,Africa,2018,14.34183833705989
South Africa,Africa,2018,12.05379837178978
South Sudan,Africa,2018,13.310486253191762
Sudan,Africa,2018,15.97871971728321
Tanzania,Africa,2018,12.579401127081791
Togo,Africa,2018,12.31128395982602
Tunisia,Africa,2018,16.01912374403565
Uganda,Africa,2018,14.6227793246023
Zambia,Africa,2018,12.11693189078297
Zimbabwe,Africa,2018,11.15876463164992
