Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Algeria,Africa,2019,14.78293096447923
Angola,Africa,2019,13.33846811117294
Benin,Africa,2019,11.84950149146743
Botswana,Africa,2019,11.87192294276771
Burkina Faso,Africa,2019,11.65870165055215
Burundi,Africa,2019,13.09021507771648
Cameroon,Africa,2019,11.88827826133499
Cape Verde,Africa,2019,12.13386189768798
Central African Republic,Africa,2019,14.65020865671192
Chad,Africa,2019,12.650981779330351
Comoros,Africa,2019,12.22513282226648
Congo,Africa,2019,13.03605407961543
Cote d'Ivoire,Africa,2019,11.19305535175516
Democratic Republic of Congo,Africa,2019,13.63760238811902
Djibouti,Africa,2019,12.04389852752414
Egypt,Africa,2019,14.58079800098706
Equatorial Guinea,Africa,2019,13.20787082082861
Eritrea,Africa,2019,12.92289676719863
Eswatini,Africa,2019,11.93273924515627
Ethiopia,Africa,2019,12.47839029910996
Gabon,Africa,2019,13.111850415478198
Gambia,Africa,2019,13.048144501104812
Ghana,Africa,2019,11.40335942352635
Guinea,Africa,2019,11.8473685995049
Guinea-Bissau,Africa,2019,11.77265092993968
Kenya,Africa,2019,12.33861464845878
Lesotho,Africa,2019,13.306441127799628
Liberia,Africa,2019,12.48881054788407
Libya,Africa,2019,15.39913127603721
Madagascar,Africa,2019,13.03922304664946
Malawi,Africa,2019,12.499132992036529
Mali,Africa,2019,10.57280915008862
Mauritania,Africa,2019,10.58212272239938
Mauritius,Africa,2019,11.86021683253978
Morocco,Africa,2019,15.748767018997189
Mozambique,Africa,2019,13.36640959456014
Namibia,Africa,2019,11.094356633700029
Niger,Africa,2019,11.62902450511286
Nigeria,Africa,2019,10.71722426631048
Rwanda,Africa,2019,13.079750109942308
Sao Tome and Principe,Africa,2019,10.99702296319828
Senegal,Africa,2019,10.99993864792991
Seychelles,Africa,2019,10.86233436553438
Sierra Leone,Africa,2019,12.329599085605
Somalia,Africa,2019,14.362823333746718
South Africa,Africa,2019,12.01133791839872
South Sudan,Africa,2019,13.3129160175444
Sudan,Africa,2019,15.98582968024279
Tanzania,Africa,2019,12.5842385624324
Togo,Africa,2019,12.30712650595274
Tunisia,Africa,2019,16.08304800417248
Uganda,Africa,2019,14.59358069301794
Zambia,Africa,2019,12.112615513042073
Zimbabwe,Africa,2019,11.11902060692531
