,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
561,Belize,North America,2011,14.213370792625271
562,Belize,North America,2012,14.230213987094158
563,Belize,North America,2013,14.250350934757767
564,Belize,North America,2014,14.26788212364645
565,Belize,North America,2015,14.27955427805726
566,Belize,North America,2016,14.287609309417778
567,Belize,North America,2017,14.2945006116128
568,Belize,North America,2018,14.306340857655888
569,Belize,North America,2019,14.32655399016709
600,Bermuda,North America,1990,14.67202084499998
601,Bermuda,North America,1991,14.6518131754803
602,Bermuda,North America,1992,14.638244147778682
603,Bermuda,North America,1993,14.62376947274284
604,Bermuda,North America,1994,14.61146737370314
605,Bermuda,North America,1995,14.604603491014908
606,Bermuda,North America,1996,14.59584058711629
607,Bermuda,North America,1997,14.59168396851025
608,Bermuda,North America,1998,14.58134079124478
609,Bermuda,North America,1999,14.57493790814155
610,Bermuda,North America,2000,14.56729351452527
611,Bermuda,North America,2001,14.55603048509198
612,Bermuda,North America,2002,14.543549278073687
613,Bermuda,North America,2003,14.52731739790682
614,Bermuda,North America,2004,14.51023461899844
615,Bermuda,North America,2005,14.49380004356108
616,Bermuda,North America,2006,14.478835478241258
617,Bermuda,North America,2007,14.46383553823175
618,Bermuda,North America,2008,14.44711946631906
619,Bermuda,North America,2009,14.44020674604865
620,Bermuda,North America,2010,14.43959189532211
621,Bermuda,North America,2011,14.44945401229003
622,Bermuda,North America,2012,14.463824000599727
623,Bermuda,North America,2013,14.4783706584393
624,Bermuda,North America,2014,14.49145206124502
625,Bermuda,North America,2015,14.49690378465911
626,Bermuda,North America,2016,14.49356038781769
627,Bermuda,North America,2017,14.491430383709613
628,Bermuda,North America,2018,14.5034885338131
629,Bermuda,North America,2019,14.52343948774755
660,Bolivia,South America,1990,15.2706949779765
661,Bolivia,South America,1991,15.270650066588122
662,Bolivia,South America,1992,15.266987408039151
663,Bolivia,South America,1993,15.26350718351313
664,Bolivia,South America,1994,15.26287804986568
665,Bolivia,South America,1995,15.258115661369908
666,Bolivia,South America,1996,15.25138637333478
667,Bolivia,South America,1997,15.243394293748947
668,Bolivia,South America,1998,15.23193869614247
669,Bolivia,South America,1999,15.21860470394229
670,Bolivia,South America,2000,15.21032118943609
671,Bolivia,South America,2001,15.19803427773698
672,Bolivia,South America,2002,15.18741229900458
673,Bolivia,South America,2003,15.17330904612129
674,Bolivia,South America,2004,15.15871354336595
675,Bolivia,South America,2005,15.14567911101996
676,Bolivia,South America,2006,15.13396140477155
677,Bolivia,South America,2007,15.12320690664763
678,Bolivia,South America,2008,15.10840852785794
679,Bolivia,South America,2009,15.100401209506838
680,Bolivia,South America,2010,15.095260657874707
681,Bolivia,South America,2011,15.09567008291444
682,Bolivia,South America,2012,15.100570864332068
683,Bolivia,South America,2013,15.108350679206332
684,Bolivia,South America,2014,15.11234768378103
685,Bolivia,South America,2015,15.1113057951864
686,Bolivia,South America,2016,15.105219593111368
687,Bolivia,South America,2017,15.10006183432816
688,Bolivia,South America,2018,15.08480607266166
689,Bolivia,South America,2019,15.063350369530228
750,Brazil,South America,1990,15.48993760063617
751,Brazil,South America,1991,15.49091730575437
752,Brazil,South America,1992,15.5089730700432
753,Brazil,South America,1993,15.53625659114285
754,Brazil,South America,1994,15.565802268134629
755,Brazil,South America,1995,15.59452224079941
756,Brazil,South America,1996,15.74789726030588
757,Brazil,South America,1997,16.0871434582184
758,Brazil,South America,1998,16.51274948839351
759,Brazil,South America,1999,16.9257119321869
760,Brazil,South America,2000,17.22926941558892
761,Brazil,South America,2001,17.47347574872102
762,Brazil,South America,2002,17.73988345171533
763,Brazil,South America,2003,17.98556591495851
764,Brazil,South America,2004,18.16969385147996
765,Brazil,South America,2005,18.24907528386352
766,Brazil,South America,2006,18.2036975156416
767,Brazil,South America,2007,18.07115287706599
768,Brazil,South America,2008,17.90221485468328
769,Brazil,South America,2009,17.74701897565048
770,Brazil,South America,2010,17.65840049137137
771,Brazil,South America,2011,17.5390876573917
772,Brazil,South America,2012,17.30732620839738
773,Brazil,South America,2013,17.04079281472293
774,Brazil,South America,2014,16.8183349348552
775,Brazil,South America,2015,16.71917787646766
776,Brazil,South America,2016,16.70889470343326
777,Brazil,South America,2017,16.70250500496181
778,Brazil,South America,2018,16.70712299017838
