Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Antigua and Barbuda,North America,2018,14.102881319158032
Argentina,South America,2018,13.600910623225
Bahamas,North America,2018,14.09912411060299
Barbados,North America,2018,14.34183652334907
Belize,North America,2018,14.306340857655888
Bermuda,North America,2018,14.5034885338131
Bolivia,South America,2018,15.08480607266166
Brazil,South America,2018,16.70712299017838
Canada,North America,2018,14.95313317879026
Chile,South America,2018,15.28861147629031
Colombia,South America,2018,12.02654514623203
Costa Rica,North America,2018,13.005540891382438
Cuba,North America,2018,15.1058993025188
Dominica,North America,2018,14.221159890957772
Dominican Republic,North America,2018,15.010098430328918
Ecuador,South America,2018,14.61038054489093
El Salvador,North America,2018,13.2578747441202
Greenland,North America,2018,17.69017113438304
Grenada,North America,2018,14.35359182993046
Guatemala,North America,2018,13.2596202269931
Guyana,South America,2018,15.84497823456763
Haiti,North America,2018,15.12112865736586
Honduras,North America,2018,12.717340809017392
Jamaica,North America,2018,13.95241908395358
Mexico,North America,2018,12.25821759139892
Nicaragua,North America,2018,13.28403247643028
Panama,North America,2018,12.18398257256112
Paraguay,South America,2018,15.838342021887089
Peru,South America,2018,13.82598887229336
Puerto Rico,North America,2018,14.20089620283312
Saint Kitts and Nevis,North America,2018,15.07755419674514
Saint Lucia,North America,2018,14.425132485510533
Saint Vincent and the Grenadines,North America,2018,14.3870533881467
Suriname,South America,2018,15.473536486923688
Trinidad and Tobago,North America,2018,14.5458513953778
United States,North America,2018,16.63068063032096
United States Virgin Islands,North America,2018,14.547133805153251
Uruguay,South America,2018,14.15991007161834
Venezuela,South America,2018,13.58349547073252
American Samoa,Oceania,2018,11.20812878760909
Australia,Oceania,2018,19.072542705511943
Cook Islands,Oceania,2018,11.62820701070216
Fiji,Oceania,2018,11.52777001324772
Guam,Oceania,2018,11.57848934321036
Kiribati,Oceania,2018,12.20001360124692
Marshall Islands,Oceania,2018,11.84067220999876
Micronesia (country),Oceania,2018,11.9121132882255
Nauru,Oceania,2018,11.78494651305222
New Zealand,Oceania,2018,19.03152525765636
Niue,Oceania,2018,11.76694281446434
Northern Mariana Islands,Oceania,2018,11.21734079065709
Palau,Oceania,2018,11.64083851425905
Papua New Guinea,Oceania,2018,11.90535873805285
Samoa,Oceania,2018,11.56264964340559
Solomon Islands,Oceania,2018,12.210913623222371
Tokelau,Oceania,2018,11.81255131239847
Tonga,Oceania,2018,11.52099199360249
Tuvalu,Oceania,2018,12.12850447413726
Vanuatu,Oceania,2018,11.94264726739876
