,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
433,Bangladesh,Asia,2003,12.72493136710426
434,Bangladesh,Asia,2004,12.72823942882359
435,Bangladesh,Asia,2005,12.69116985651381
436,Bangladesh,Asia,2006,12.59394506786948
437,Bangladesh,Asia,2007,12.4715502679461
438,Bangladesh,Asia,2008,12.33858467669205
439,Bangladesh,Asia,2009,12.22104911446391
440,Bangladesh,Asia,2010,12.13636002942045
441,Bangladesh,Asia,2011,12.078776029672431
442,Bangladesh,Asia,2012,12.02820546248287
443,Bangladesh,Asia,2013,11.97912353943241
444,Bangladesh,Asia,2014,11.93904072747043
445,Bangladesh,Asia,2015,11.8966766152384
446,Bangladesh,Asia,2016,11.86366652729794
447,Bangladesh,Asia,2017,11.833639221189433
448,Bangladesh,Asia,2018,11.811772972581
449,Bangladesh,Asia,2019,11.801304673787
630,Bhutan,Asia,1990,13.02033425512071
631,Bhutan,Asia,1991,12.96270005610432
632,Bhutan,Asia,1992,12.90787038069679
633,Bhutan,Asia,1993,12.857237515111612
634,Bhutan,Asia,1994,12.80838084166239
635,Bhutan,Asia,1995,12.75809929097044
636,Bhutan,Asia,1996,12.71423680296619
637,Bhutan,Asia,1997,12.679934003915411
638,Bhutan,Asia,1998,12.64267006807468
639,Bhutan,Asia,1999,12.60338745215663
640,Bhutan,Asia,2000,12.56365893230718
641,Bhutan,Asia,2001,12.516159428949589
642,Bhutan,Asia,2002,12.46771039221414
643,Bhutan,Asia,2003,12.41805964861938
644,Bhutan,Asia,2004,12.37100829684085
645,Bhutan,Asia,2005,12.32708639784233
646,Bhutan,Asia,2006,12.2816077379552
647,Bhutan,Asia,2007,12.23990708669913
648,Bhutan,Asia,2008,12.20083666604424
649,Bhutan,Asia,2009,12.1667418957922
650,Bhutan,Asia,2010,12.13791575574225
651,Bhutan,Asia,2011,12.12107201322952
652,Bhutan,Asia,2012,12.11366125845084
653,Bhutan,Asia,2013,12.11140368510114
654,Bhutan,Asia,2014,12.10650250181302
655,Bhutan,Asia,2015,12.09444295080448
656,Bhutan,Asia,2016,12.06651247152374
657,Bhutan,Asia,2017,12.03837847007701
658,Bhutan,Asia,2018,12.04153569452007
659,Bhutan,Asia,2019,12.06935611096466
780,Brunei,Asia,1990,10.22760180205324
781,Brunei,Asia,1991,10.21824026447629
782,Brunei,Asia,1992,10.21294844672045
783,Brunei,Asia,1993,10.21144119019767
784,Brunei,Asia,1994,10.20942509597379
785,Brunei,Asia,1995,10.20909888235208
786,Brunei,Asia,1996,10.2100084711706
787,Brunei,Asia,1997,10.21306881743787
788,Brunei,Asia,1998,10.22098102060597
789,Brunei,Asia,1999,10.22482085026043
790,Brunei,Asia,2000,10.23119427259604
791,Brunei,Asia,2001,10.2381919460782
792,Brunei,Asia,2002,10.24782669735438
793,Brunei,Asia,2003,10.2561167113512
794,Brunei,Asia,2004,10.26302736354072
795,Brunei,Asia,2005,10.26926128594647
796,Brunei,Asia,2006,10.26857375173358
797,Brunei,Asia,2007,10.25896033444913
798,Brunei,Asia,2008,10.24764737174312
799,Brunei,Asia,2009,10.24217856808134
800,Brunei,Asia,2010,10.24188677921994
801,Brunei,Asia,2011,10.25222898172412
802,Brunei,Asia,2012,10.27252608565097
803,Brunei,Asia,2013,10.29353367456425
804,Brunei,Asia,2014,10.3125393705343
805,Brunei,Asia,2015,10.32185758153415
806,Brunei,Asia,2016,10.3214814826843
807,Brunei,Asia,2017,10.3155758101744
808,Brunei,Asia,2018,10.32895598280858
809,Brunei,Asia,2019,10.35537211259077
900,Cambodia,Asia,1990,13.482416545787707
901,Cambodia,Asia,1991,13.47759762968985
902,Cambodia,Asia,1992,13.47339667336995
903,Cambodia,Asia,1993,13.46226323584486
904,Cambodia,Asia,1994,13.451416743960632
905,Cambodia,Asia,1995,13.439930930921982
906,Cambodia,Asia,1996,13.423009479995072
907,Cambodia,Asia,1997,13.40632826608276
908,Cambodia,Asia,1998,13.38617040628283
909,Cambodia,Asia,1999,13.36391894590537
910,Cambodia,Asia,2000,13.329763327342231
911,Cambodia,Asia,2001,13.29453971579083
912,Cambodia,Asia,2002,13.244331461533902
913,Cambodia,Asia,2003,13.186020013848191
914,Cambodia,Asia,2004,13.12449957858971
915,Cambodia,Asia,2005,13.05308532398461
916,Cambodia,Asia,2006,12.9792154291688
917,Cambodia,Asia,2007,12.904534426618818
918,Cambodia,Asia,2008,12.82854636863982
919,Cambodia,Asia,2009,12.760457985409
920,Cambodia,Asia,2010,12.69692695979777
921,Cambodia,Asia,2011,12.648391771245878
922,Cambodia,Asia,2012,12.601173308022782
923,Cambodia,Asia,2013,12.56210804903766
924,Cambodia,Asia,2014,12.52330390965099
925,Cambodia,Asia,2015,12.48969570894797
926,Cambodia,Asia,2016,12.45333262227469
