Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Algeria,Africa,2015,14.73865727004338
Angola,Africa,2015,13.34620193459668
Benin,Africa,2015,11.82922635231815
Botswana,Africa,2015,11.8536952366267
Burkina Faso,Africa,2015,11.87111725488916
Burundi,Africa,2015,13.04730587536215
Cameroon,Africa,2015,11.89070796880494
Cape Verde,Africa,2015,12.16424130912983
Central African Republic,Africa,2015,14.53901638175651
Chad,Africa,2015,12.622316903109107
Comoros,Africa,2015,12.15434005700968
Congo,Africa,2015,13.01926479434077
Cote d'Ivoire,Africa,2015,11.19240524644298
Democratic Republic of Congo,Africa,2015,13.70836201534081
Djibouti,Africa,2015,12.02480265444855
Egypt,Africa,2015,14.57970089147712
Equatorial Guinea,Africa,2015,13.19367425261207
Eritrea,Africa,2015,12.89048256170921
Eswatini,Africa,2015,11.92244502656062
Ethiopia,Africa,2015,12.53499297240592
Gabon,Africa,2015,13.08907591719904
Gambia,Africa,2015,12.953253078247378
Ghana,Africa,2015,11.40442876163514
Guinea,Africa,2015,11.876063414288469
Guinea-Bissau,Africa,2015,11.7753268260552
Kenya,Africa,2015,12.3737517968143
Lesotho,Africa,2015,13.291501708749202
Liberia,Africa,2015,12.76352918146168
Libya,Africa,2015,15.163645851574
Madagascar,Africa,2015,12.96909541084007
Malawi,Africa,2015,12.47833518208221
Mali,Africa,2015,10.48950729343346
Mauritania,Africa,2015,10.54299640125963
Mauritius,Africa,2015,11.92495247606571
Morocco,Africa,2015,15.78376629120602
Mozambique,Africa,2015,13.340281176639952
Namibia,Africa,2015,11.08372178497123
Niger,Africa,2015,11.59312083188282
Nigeria,Africa,2015,10.71086795708582
Rwanda,Africa,2015,13.053185592741931
Sao Tome and Principe,Africa,2015,10.92651891803102
Senegal,Africa,2015,10.94279304197324
Seychelles,Africa,2015,10.84415022708101
Sierra Leone,Africa,2015,12.31189025445944
Somalia,Africa,2015,14.32802844419602
South Africa,Africa,2015,11.9483248511249
South Sudan,Africa,2015,13.24248236763845
Sudan,Africa,2015,16.01051992078626
Tanzania,Africa,2015,12.552865154279768
Togo,Africa,2015,12.30094275881725
Tunisia,Africa,2015,16.007878554965778
Uganda,Africa,2015,14.645902792844009
Zambia,Africa,2015,12.06791878504352
Zimbabwe,Africa,2015,11.15642913247844
