Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Antigua and Barbuda,North America,2016,14.06277177302166
Argentina,South America,2016,13.59060028095648
Bahamas,North America,2016,14.06912834792656
Barbados,North America,2016,14.317778242140038
Belize,North America,2016,14.287609309417778
Bermuda,North America,2016,14.49356038781769
Bolivia,South America,2016,15.105219593111368
Brazil,South America,2016,16.70889470343326
Canada,North America,2016,14.95352105662239
Chile,South America,2016,15.34714563671033
Colombia,South America,2016,11.66759383087869
Costa Rica,North America,2016,12.998771171243858
Cuba,North America,2016,15.10384809104702
Dominica,North America,2016,14.19022356889757
Dominican Republic,North America,2016,14.99544394874289
Ecuador,South America,2016,14.622976543714389
El Salvador,North America,2016,13.25614437987355
Greenland,North America,2016,17.7219462622156
Grenada,North America,2016,14.34245072461446
Guatemala,North America,2016,13.24884150230852
Guyana,South America,2016,15.88726715961131
Haiti,North America,2016,15.10381245920495
Honduras,North America,2016,12.713876454697932
Jamaica,North America,2016,13.92818688005621
Mexico,North America,2016,12.22172548908353
Nicaragua,North America,2016,13.2792558194159
Panama,North America,2016,12.16153487343412
Paraguay,South America,2016,15.8283964855954
Peru,South America,2016,13.82902180424912
Puerto Rico,North America,2016,14.17739530044988
Saint Kitts and Nevis,North America,2016,15.07519020424879
Saint Lucia,North America,2016,14.40277090881443
Saint Vincent and the Grenadines,North America,2016,14.36933794477596
Suriname,South America,2016,15.47817919268203
Trinidad and Tobago,North America,2016,14.53174707031588
United States,North America,2016,16.47489358363504
United States Virgin Islands,North America,2016,14.53026348918716
Uruguay,South America,2016,14.18109828807509
Venezuela,South America,2016,13.550168922778491
American Samoa,Oceania,2016,11.20181672248888
Australia,Oceania,2016,18.97665826149301
Cook Islands,Oceania,2016,11.62534757267561
Fiji,Oceania,2016,11.533994624573127
Guam,Oceania,2016,11.57714981267565
Kiribati,Oceania,2016,12.20267053484652
Marshall Islands,Oceania,2016,11.8404221322121
Micronesia (country),Oceania,2016,11.92138569634485
Nauru,Oceania,2016,11.82301646049626
New Zealand,Oceania,2016,19.0376846618182
Niue,Oceania,2016,11.75989489739097
Northern Mariana Islands,Oceania,2016,11.22245551958004
Palau,Oceania,2016,11.65720865687141
Papua New Guinea,Oceania,2016,11.93509961360877
Samoa,Oceania,2016,11.56199200163646
Solomon Islands,Oceania,2016,12.2264717876256
Tokelau,Oceania,2016,11.84222463982545
Tonga,Oceania,2016,11.52485474892668
Tuvalu,Oceania,2016,12.15859850017568
Vanuatu,Oceania,2016,11.9372205450847
