Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Antigua and Barbuda,North America,2017,14.06152788539408
Argentina,South America,2017,13.59725185671997
Bahamas,North America,2017,14.06645948990798
Barbados,North America,2017,14.317885870113612
Belize,North America,2017,14.2945006116128
Bermuda,North America,2017,14.491430383709613
Bolivia,South America,2017,15.10006183432816
Brazil,South America,2017,16.70250500496181
Canada,North America,2017,14.95610293601228
Chile,South America,2017,15.3323504381229
Colombia,South America,2017,11.99675794670596
Costa Rica,North America,2017,13.00157568131658
Cuba,North America,2017,15.09123836323281
Dominica,North America,2017,14.1918596954196
Dominican Republic,North America,2017,14.989529762947102
Ecuador,South America,2017,14.62010974807752
El Salvador,North America,2017,13.26053026543291
Greenland,North America,2017,17.75353947357679
Grenada,North America,2017,14.33974000310729
Guatemala,North America,2017,13.269220426300778
Guyana,South America,2017,15.8674759344068
Haiti,North America,2017,15.11136524516803
Honduras,North America,2017,12.72148937644952
Jamaica,North America,2017,13.918813459895093
Mexico,North America,2017,12.25237774524687
Nicaragua,North America,2017,13.28934865058462
Panama,North America,2017,12.1789555394517
Paraguay,South America,2017,15.835756712241162
Peru,South America,2017,13.8273263868226
Puerto Rico,North America,2017,14.18046015665109
Saint Kitts and Nevis,North America,2017,15.066368888625862
Saint Lucia,North America,2017,14.401272773506548
Saint Vincent and the Grenadines,North America,2017,14.36505158288854
Suriname,South America,2017,15.47966718573008
Trinidad and Tobago,North America,2017,14.52558702545803
United States,North America,2017,16.492135266000272
United States Virgin Islands,North America,2017,14.52167651441665
Uruguay,South America,2017,14.166887987935532
Venezuela,South America,2017,13.56665483424209
American Samoa,Oceania,2017,11.1916949149181
Australia,Oceania,2017,18.96159235184795
Cook Islands,Oceania,2017,11.61808392599708
Fiji,Oceania,2017,11.52145421021141
Guam,Oceania,2017,11.57060788269377
Kiribati,Oceania,2017,12.19681774262395
Marshall Islands,Oceania,2017,11.83194491228756
Micronesia (country),Oceania,2017,11.9092148177299
Nauru,Oceania,2017,11.79304947222554
New Zealand,Oceania,2017,19.02648526172187
Niue,Oceania,2017,11.75988229487246
Northern Mariana Islands,Oceania,2017,11.21174623104088
Palau,Oceania,2017,11.64026269296821
Papua New Guinea,Oceania,2017,11.90971413471998
Samoa,Oceania,2017,11.54693900243606
Solomon Islands,Oceania,2017,12.20703594844801
Tokelau,Oceania,2017,11.82177419422579
Tonga,Oceania,2017,11.51174377203192
Tuvalu,Oceania,2017,12.133965870253451
Vanuatu,Oceania,2017,11.92821169313377
