Unnamed: 0,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
1333,Morocco,Middle East and North Africa,2021,5.326248646,8.994469643,0.504563928,63.90000153,0.761806488,-0.201621071,0.817366838,0.554495931,0.340848327,
1343,Mozambique,Sub-Saharan Africa,2021,5.178486824,7.112137318,0.664022684,51.29999924,0.838100493,0.046138112,0.62746644,0.575794935,0.383462697,0.731971681
1361,Namibia,Sub-Saharan Africa,2021,4.491207123,9.120174408,0.80780077,56.84999847,0.658505261,-0.149577275,0.828966737,0.643536866,0.230259106,0.529419482
1457,Nigeria,Sub-Saharan Africa,2021,4.47926569,8.501598358,0.741560102,55.04999924,0.725732863,0.05000848,0.911945105,0.666297317,0.188105255,0.252334535
1663,Saudi Arabia,Middle East and North Africa,2021,6.44529438,10.69962692,0.859361112,64.40000153,0.902473032,-0.102417298,,0.728473246,0.228370279,
1680,Senegal,Sub-Saharan Africa,2021,4.902830601,8.159204483,0.645179272,60.0,0.758525133,0.02992768,0.82134825,0.812411606,0.264975786,0.454221755
1708,Sierra Leone,Sub-Saharan Africa,2021,3.714294434,7.386903286,0.609334111,54.5,0.659139514,0.109318823,0.851488411,0.537982225,0.448415697,0.753032207
1774,South Africa,Sub-Saharan Africa,2021,5.598653793,9.496415138,0.922238767,57.25,0.703564703,-0.145475447,0.891578615,0.78432101,0.172806978,0.508961499
1931,Tanzania,Sub-Saharan Africa,2021,3.68056798,7.856203079,0.618984401,59.40000153,0.821772814,0.113438092,0.546387076,0.648245037,0.246362492,0.89139092
1959,Togo,Sub-Saharan Africa,2021,4.036543846,7.661435127,0.603399694,57.20000076,0.618520677,0.040942594,0.765818477,0.627953172,0.417280585,0.547805727
1978,Tunisia,Middle East and North Africa,2021,4.49948597,9.249362946,0.711321533,67.0,0.591229916,-0.203170478,0.932745636,0.451362312,0.335503727,0.317189902
1995,Turkiye,Middle East and North Africa,2021,4.366639614,10.35668087,0.736194909,68.75,0.44652763,-0.036791019,0.810165942,0.297092021,0.470578879,
2021,Uganda,Sub-Saharan Africa,2021,4.224533558,7.717090607,0.793349564,59.15000153,0.710621119,0.084252886,0.835011721,0.699308991,0.358832955,0.558759928
2052,United Arab Emirates,Middle East and North Africa,2021,6.733067513,11.15244007,0.826060593,66.30000305,0.95132792,0.151218623,,0.696669996,0.217109919,
2181,Zambia,Sub-Saharan Africa,2021,3.082154989,8.082337379,0.619071007,55.25,0.832573771,0.141229719,0.824030817,0.655689895,0.348551363,0.697677791
2197,Zimbabwe,Sub-Saharan Africa,2021,3.154578209,7.656878471,0.685150504,54.04999924,0.667636156,-0.075574532,0.756945193,0.609917223,0.241681874,0.665703177
