Unnamed: 0,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
38,Algeria,Middle East and North Africa,2021,5.217017651,9.309262276,0.840710282,66.59999847,0.558486938,-0.113483414,0.711900055,0.498022288,0.257779151,
193,Benin,Sub-Saharan Africa,2021,4.493431091,8.108187675,0.435524195,56.09999847,0.724061847,-0.013133102,0.6125471,0.596800864,0.434594899,0.762415886
287,Burkina Faso,Sub-Saharan Africa,2021,4.635508537,7.686983585,0.6575436,55.65000153,0.64410162,0.067367151,0.736158907,0.619715929,0.363105804,0.620851576
325,Cameroon,Sub-Saharan Africa,2021,4.962747574,8.216213226,0.694936395,55.84999847,0.715301752,-0.026043305,0.848717153,0.612028599,0.346513718,0.563208461
432,Congo (Brazzaville),Sub-Saharan Africa,2021,4.920531273,8.081596375,0.567651093,56.84999847,0.737661481,-0.019420257,0.732729912,0.567556679,0.420455933,0.522122145
575,Egypt,Middle East and North Africa,2021,4.025747776,9.355829239,0.717022359,63.5,0.704442561,-0.226317123,0.580454171,0.387354374,0.324949861,0.764044523
665,Gabon,Sub-Saharan Africa,2021,5.075422287,9.533417702,0.75387162,58.25,0.699056685,-0.204896048,0.765906811,0.620008111,0.36192885,0.448331118
720,Ghana,Sub-Saharan Africa,2021,4.377950668,8.600658417,0.63272965,58.75,0.730264723,0.108049184,0.887770474,0.58759433,0.295109749,0.521073401
763,Guinea,Sub-Saharan Africa,2021,4.944539547,7.878664494,0.627239227,54.20000076,0.676289976,0.160383582,0.783515692,0.671716809,0.450476736,
878,Iran,Middle East and North Africa,2021,4.78781414,9.616117477,0.771469533,66.59999847,0.609310269,0.17448397,0.761170328,0.517929852,0.42716375,0.617649436
892,Iraq,Middle East and North Africa,2021,5.093667984,9.100792885,0.730212867,63.65000153,0.594466746,0.007494672,0.900640011,0.577400565,0.474228501,0.42379427
924,Israel,Middle East and North Africa,2021,7.577528,10.64688206,0.91658324,72.69999695,0.819777012,-0.005923409,0.726003766,0.558294713,0.21654281,0.439594686
952,Ivory Coast,Sub-Saharan Africa,2021,5.055806637,8.580173492,0.554224849,55.95000076,0.717105269,-0.001522999,0.715896964,0.625795424,0.344690382,0.668288469
995,Jordan,Middle East and North Africa,2021,3.90914917,9.129471779,0.702918172,67.59999847,0.77311343,-0.145580366,0.655549169,0.479504108,0.429252565,0.791178405
1029,Kenya,Sub-Saharan Africa,2021,4.464540958,8.464528084,0.702200711,58.5,0.678108215,0.31601575,0.841331422,0.74483794,0.252963096,0.51475817
1116,Lebanon,Middle East and North Africa,2021,2.178809404,9.470949173,0.50677526,66.15000153,0.42269668,-0.161281437,0.9052791,0.263486832,0.569100618,0.106694363
1191,Malawi,Sub-Saharan Africa,2021,3.635283232,7.307291985,0.557914317,58.20000076,0.757269025,-0.010125406,0.740276992,0.550894737,0.325555235,0.514003277
1222,Mali,Sub-Saharan Africa,2021,4.11309576,7.659465313,0.573393524,55.40000153,0.672789276,-0.000230506,0.90156728,0.639572978,0.438466877,0.499018282
1259,Mauritius,Sub-Saharan Africa,2021,5.949120045,9.950750351,0.886509895,63.84999847,0.802364588,-0.010926317,0.783532083,0.665566385,0.135523796,0.527145624
