,Entity,Regional Indicator,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
490,Belarus,Europe,2000,0.28812059180931,0.55639508265398,0.10595744240498,3.76066800341582,0.96251725212929,4.3681106997034505,3.059416256494
491,Belarus,Europe,2001,0.28836434903142,0.55667664753985,0.10669522267281,3.76078964666909,0.96347847326005,4.3754264385095,3.05912686378758
492,Belarus,Europe,2002,0.2887519322085,0.55701401735175,0.1078670397128999,3.760382766167631,0.96431107337319,4.38478092515298,3.05110736610126
493,Belarus,Europe,2003,0.28921674285092,0.557382637863,0.11003766548283,3.7599520051418,0.96510492316385,4.38854785591302,3.03721771609879
494,Belarus,Europe,2004,0.28970489341258,0.55776215017536,0.11238204211075,3.75983300628049,0.96513964338674,4.39212729817232,3.02038394399777
495,Belarus,Europe,2005,0.29013801222088,0.5580894540953699,0.1145258141351899,3.7604044879525897,0.96564822159869,4.38881471112627,3.00245365628839
496,Belarus,Europe,2006,0.29069757464244,0.55844672195817,0.1168839887138299,3.7613476252741895,0.96320890268512,4.3693753321142,2.97908119023485
497,Belarus,Europe,2007,0.29152061046766,0.5588621403499601,0.1196575711308799,3.76169126029556,0.96029729009039,4.33341454723734,2.94922922863992
498,Belarus,Europe,2008,0.29246648351328,0.55932044632218,0.12273895197681,3.76216355466817,0.95678429976923,4.28935658595693,2.91695516359392
499,Belarus,Europe,2009,0.29338851744051,0.55977061456873,0.12569164440862,3.7629387544910298,0.95139508260038,4.25151871172976,2.88791620108158
500,Belarus,Europe,2010,0.2941486418031599,0.5601683522454399,0.1283764640493,3.76423572010999,0.94870972502215,4.22898983873442,2.86815723324468
501,Belarus,Europe,2011,0.29500021610628,0.5605616122207401,0.13101799935305,3.7655716723356094,0.94502858639322,4.21910381351643,2.86538063337748
502,Belarus,Europe,2012,0.29616888923564,0.56100119531834,0.13378641164527,3.76607561059786,0.93902095815671,4.21273656448879,2.87988717563694
503,Belarus,Europe,2013,0.29742226456239,0.56143178530697,0.13676133337803,3.766133995195261,0.93493600825328,4.20623259182522,2.90106181736869
504,Belarus,Europe,2014,0.29852687155548,0.56179596336066,0.13952268752013,3.76584359119761,0.93129207255326,4.20142279443769,2.91963354729991
505,Belarus,Europe,2015,0.2992769270536,0.5620770627999699,0.14127965547415,3.76550452891999,0.92736678572163,4.19927381167278,2.92678588353886
506,Belarus,Europe,2016,0.29963814270261,0.56213139270901,0.14228645606832,3.76115442148142,0.92691386955979,4.2027156176259695,2.8863755856804
507,Belarus,Europe,2017,0.29977479012624,0.56210523290678,0.14345983777054,3.75615609672785,0.92489499149728,4.20175050160261,2.84469538132987
508,Belarus,Europe,2018,0.29968616635701,0.56217954114919,0.14404185441035,3.7564902852448,0.92198110351643,4.17697871465361,2.81769263941706
509,Belarus,Europe,2019,0.2993459504549099,0.56226385468065,0.14484115292103,3.75978618991259,0.91982027763896,4.12825254318552,2.7612768271354
510,Belgium,Europe,1990,0.30180115501415,0.98658920573081,0.39926797421686,5.48627430472016,1.11648540443707,3.63276293307353,2.46673606314754
511,Belgium,Europe,1991,0.30206003924872,0.98691419642094,0.40377880870275,5.490248915816999,1.12450909877626,3.6189467556585897,2.53194221168212
512,Belgium,Europe,1992,0.3022986468518099,0.98735374926537,0.40811242054809,5.49280355415255,1.13164213690789,3.60874006477759,2.59243842352701
513,Belgium,Europe,1993,0.30249521992023,0.98782343788042,0.4128191265160699,5.49408038810826,1.13630629640084,3.6014553209790003,2.64443593432722
514,Belgium,Europe,1994,0.30267982314454,0.98839394642914,0.41585807514516,5.49499866445273,1.13931932166353,3.59901604482723,2.68508726683611
515,Belgium,Europe,1995,0.30283834134373,0.98901861299046,0.41904063846946,5.4958265544798,1.14206293738486,3.5975301621144697,2.71068314174473
516,Belgium,Europe,1996,0.30293936132375,0.98977558173368,0.4212670788848799,5.48967059102846,1.13997045546203,3.59610438852297,2.72803059777149
517,Belgium,Europe,1997,0.30298556955921,0.99071151659025,0.42366281444054,5.47394648817547,1.13324534726486,3.5919525844837605,2.74581422538476
518,Belgium,Europe,1998,0.30300598909696,0.99168515250213,0.42568268012825,5.45529303707782,1.1245035928091,3.5897753872200804,2.76225027265316
519,Belgium,Europe,1999,0.30305004478569,0.99259667982275,0.42844384365438,5.44059373705214,1.12004692404852,3.59450630672758,2.77598342964007
520,Belgium,Europe,2000,0.30313980150399,0.99331542127938,0.43089643676994,5.43659274333836,1.12184265385303,3.60823027746561,2.78514894161829
521,Belgium,Europe,2001,0.30326707771674,0.99411232103361,0.43444147072265,5.44119384067923,1.12776710229366,3.63018850713202,2.7699942712350203
522,Belgium,Europe,2002,0.3034066974157099,0.99521050638954,0.4386859306112199,5.44738551867825,1.13600938070308,3.65191874596854,2.72449106303467
523,Belgium,Europe,2003,0.30352814138266,0.9963382375497,0.44299633995561,5.45392593980763,1.14422228680256,3.67521509889962,2.66598018706793
524,Belgium,Europe,2004,0.30359798528883,0.99717440168292,0.44768826114231,5.45946158053554,1.15181523649964,3.70025954672408,2.61215839523922
525,Belgium,Europe,2005,0.3035866785955,0.99741358976225,0.45105368135327,5.46276303868705,1.15832479787409,3.7274368868003305,2.58050520308488
526,Belgium,Europe,2006,0.30326557358334,0.99644653360851,0.45353126526454,5.46733912779602,1.16073887158196,3.7743677379549903,2.56284694193604
527,Belgium,Europe,2007,0.30259402602068,0.99434547679079,0.45564209694273,5.47626222518562,1.15771819443149,3.8447497938764,2.54213172922575
528,Belgium,Europe,2008,0.30180877448014,0.99190128798842,0.45674241030268,5.487958678742539,1.15427164108063,3.920219062979781,2.52192465163262
529,Belgium,Europe,2009,0.30115375289898,0.98987052067604,0.4590072751956399,5.500958730287301,1.15092790829614,3.9802496804895,2.50615027907215
530,Belgium,Europe,2010,0.3008675611748,0.98901795239087,0.46000031456532,5.51383972704409,1.15123908260151,4.00665108806547,2.49850202709733
531,Belgium,Europe,2011,0.3008636784832399,0.98908175096659,0.46222217775308,5.53033636925249,1.15625355032828,3.9974596294687306,2.4957306366493097
532,Belgium,Europe,2012,0.3009008315416699,0.9892821704609,0.46519125056439,5.55252689842459,1.16097224687366,3.97522230162882,2.49274986081144
533,Belgium,Europe,2013,0.30095270101482,0.98952175593633,0.46764278389007,5.57555796268735,1.1671190203223,3.94707638882334,2.49003752054754
534,Belgium,Europe,2014,0.30101232386973,0.98971955135169,0.47087322136123,5.59504535825221,1.17265614316775,3.92097942183735,2.48839053968138
535,Belgium,Europe,2015,0.3010958938446,0.98986740791504,0.47227287024205,5.60695657140738,1.1788858602118302,3.90403353304987,2.48880767710535
536,Belgium,Europe,2016,0.30163237183955,0.98997848484456,0.47498842747988,5.60494921175128,1.18811303048063,3.8968532442927297,2.50369641626743
537,Belgium,Europe,2017,0.30216610033463,0.99011388040155,0.47802050463874,5.595515711248019,1.19665313858203,3.8920368290505296,2.51922940425572
