,Entity,Regional Indicator,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
3680,Myanmar,Asia,2010,0.2737922411656699,0.32402278935452,0.07930014767719,3.97496922774808,0.51921405303588,2.15752598846735,0.78714999475478
3681,Myanmar,Asia,2011,0.27525063327839,0.32421366281351,0.08178269149153,3.98494095703852,0.51803030370572,2.1649064150875,0.78671056782219
3682,Myanmar,Asia,2012,0.2772490698524499,0.32447089869864,0.08378079241435,3.99674105040538,0.5180119335487,2.18101206807954,0.78607241138887
3683,Myanmar,Asia,2013,0.27937283586744,0.3247446675179,0.08608814127074,4.00890800511435,0.51769012401106,2.20089225202207,0.78543027395216
3684,Myanmar,Asia,2014,0.28122598346618,0.32499995395592,0.08825634075709,4.02035026341677,0.51799997532982,2.21670872562065,0.7850097258823401
3685,Myanmar,Asia,2015,0.28239440014523,0.3251984523612899,0.09023034427643,4.0297211897602105,0.51795933840104,2.22634002278836,0.7849845740042201
3686,Myanmar,Asia,2016,0.2828430830448,0.3254171150594099,0.09273622087371,4.044906727073791,0.51941124379795,2.2264682826395,0.78645908062706
3687,Myanmar,Asia,2017,0.28326013034416,0.3256540296688,0.09468190364687,4.06091393090869,0.5216718641032599,2.2244787878964,0.78883344484184
3688,Myanmar,Asia,2018,0.28445214134628,0.32586432340951,0.09656734517207,4.07537059140067,0.52226430098236,2.23685146512102,0.7928682423083
3689,Myanmar,Asia,2019,0.2864390790817099,0.32609392622845,0.09850795112491,4.09480160265155,0.52237466977113,2.25825595078495,0.7995247729014301
3750,Nepal,Asia,1990,0.27642142117859,0.38901278788507,0.08155456594437,2.97537987656704,0.36992332704725,4.702497798135781,1.20740451881588
3751,Nepal,Asia,1991,0.27641666600675,0.38906627219882,0.0820623915358799,2.9801837492396297,0.37090027678942,4.66916690057904,1.20788613193173
3752,Nepal,Asia,1992,0.27642028019134,0.3891522122118699,0.08271590343285,2.98466137587389,0.37143012321316,4.65048567394609,1.20883431700941
3753,Nepal,Asia,1993,0.27644668955601,0.38927456703653,0.08337854969419,2.98870791757422,0.3722599823788,4.63835207035372,1.21013884645929
3754,Nepal,Asia,1994,0.2764984189525299,0.38942207745481,0.08361978160189,2.99209334728264,0.37338970803483,4.63412816237949,1.21160794048239
3755,Nepal,Asia,1995,0.27658229099749,0.3895909356877099,0.08433605095601,2.9946994484996,0.37402375057275,4.6336570535796,1.21310178165777
3756,Nepal,Asia,1996,0.2766268991288,0.38980402667212,0.08494708554843,2.99740406462083,0.3749645899117699,4.68177105973295,1.2135257969004
3757,Nepal,Asia,1997,0.27659089128567,0.39006556570651,0.0855288768089699,3.00112212536108,0.37610464451749,4.79379118021952,1.21235839543869
3758,Nepal,Asia,1998,0.27653974541527,0.39036107818578,0.08602595077641,3.0055333401010302,0.37807411335758,4.92659820836791,1.21036583818145
3759,Nepal,Asia,1999,0.27652943354598,0.39066229361,0.08616764973551,3.0101926843092,0.37894532323899,5.04584335993772,1.20835072307511
3760,Nepal,Asia,2000,0.27663211173525,0.39096042207799,0.08668974691374,3.01485950853671,0.38056754563932,5.10859103553425,1.20709859171237
3761,Nepal,Asia,2001,0.27686662290609,0.39127841355649,0.08713260800674,3.02135566826739,0.38000202584218,5.12829180407437,1.20671758903172
3762,Nepal,Asia,2002,0.27716746726803,0.39163078307298,0.08760837169445,3.0310620611009,0.37950316513537,5.14408221689794,1.20634287300595
3763,Nepal,Asia,2003,0.27749009494832,0.39201417266917,0.0886124739955099,3.04292977325181,0.37856086031925,5.157880582073901,1.20561797723909
3764,Nepal,Asia,2004,0.27777351215086,0.39239984045122,0.08900701221755,3.05575777502789,0.378302351819,5.1714903948324,1.20411000793921
3765,Nepal,Asia,2005,0.27795647702554,0.3927617786266,0.08995912131406,3.0682741476184003,0.37949627148462,5.18662321659222,1.20128029363295
3766,Nepal,Asia,2006,0.27797991465257,0.39313796281039,0.09064489961277,3.08291937873887,0.3798667993687,5.2178421094383305,1.20150772452508
3767,Nepal,Asia,2007,0.27787574850456,0.393568432663,0.0916887965876,3.10194443454673,0.38115414094032,5.25958697882168,1.20683943742804
3768,Nepal,Asia,2008,0.27770093301532,0.39401053666239,0.0926556977087399,3.1238589426943,0.3824482534979,5.30382295227143,1.21361411529325
3769,Nepal,Asia,2009,0.2775111851898499,0.39441668366448,0.0936131401458899,3.14717935724173,0.38365711405326,5.34225949504899,1.21824652903648
3770,Nepal,Asia,2010,0.27736316081192,0.3947359046004,0.09480732734574,3.17027435568999,0.38481367964354,5.36159730313518,1.21723705024315
3771,Nepal,Asia,2011,0.27720121403056,0.39497851127274,0.09587486067614,3.19853346961928,0.38442877872276,5.33002067334518,1.21265231194118
3772,Nepal,Asia,2012,0.27698925007316,0.39522848586777,0.09702097129124,3.23453654917072,0.38370704303524,5.24321511647479,1.20898172027829
3773,Nepal,Asia,2013,0.27677117448383,0.39548108348795,0.09865144504463,3.27240349512231,0.3827967217036,5.13420272870514,1.20620719235966
3774,Nepal,Asia,2014,0.2765941291671699,0.39574982635142,0.10002358485308,3.30629493455846,0.38240368754839,5.04019631002981,1.20433195468578
3775,Nepal,Asia,2015,0.27650002342769,0.39603070635869,0.10128692855397,3.33022194687581,0.3823199212880699,5.0003831536513,1.20328008667504
3776,Nepal,Asia,2016,0.27629427877231,0.3962964289123,0.10356529333525,3.34688670406071,0.38599164266179,4.99999612402834,1.20604200505937
3777,Nepal,Asia,2017,0.27608119841462,0.39649845110661,0.10545052633608,3.3590477605426896,0.38990261045304,5.0097529129356495,1.21108624994943
3778,Nepal,Asia,2018,0.27605197697555,0.39672049288579,0.1063817796392199,3.37183199366727,0.3902246105376999,5.03077129238438,1.2187563881917198
3779,Nepal,Asia,2019,0.27608065195624,0.39697616733614,0.10668183380606,3.38875205381452,0.39007181577635,5.0642615677650005,1.23107339688166
3960,North Korea,Asia,1990,0.28551800344817,0.18934370353033,0.07598448187246,3.78426532748853,0.59195181312761,3.00655604049486,0.6741159272703799
3961,North Korea,Asia,1991,0.28485581695621,0.18942286453776,0.07546689877288,3.78456906919544,0.5922812438534301,3.00083037987075,0.6732808371301899
3962,North Korea,Asia,1992,0.28410367409164,0.18949361120646,0.0747858467309,3.785037353129981,0.59149068563479,2.99461563016171,0.67313451679788
